db_date,year,month,day,quarter,week,day_name,month_name,student_1,student_2,student_3,student_4,student_5
2020-01-01,2020,1,1,1,1,Wednesday,January,A,A,A,A,A
2020-01-02,2020,1,2,1,1,Thursday,January,A,A,A,A,A
2020-01-03,2020,1,3,1,1,Friday,January,A,A,A,A,A
2020-01-04,2020,1,4,1,1,Saturday,January,A,A,A,A,A
2020-01-05,2020,1,5,1,1,Sunday,January,A,A,A,A,A
2020-01-06,2020,1,6,1,2,Monday,January,A,A,A,A,A
2020-01-07,2020,1,7,1,2,Tuesday,January,A,A,A,A,A
2020-01-08,2020,1,8,1,2,Wednesday,January,A,A,A,A,A
2020-01-09,2020,1,9,1,2,Thursday,January,A,A,A,A,A
2020-01-10,2020,1,10,1,2,Friday,January,A,A,A,A,A
2020-01-11,2020,1,11,1,2,Saturday,January,A,A,A,A,A
2020-01-12,2020,1,12,1,2,Sunday,January,A,A,A,A,A
2020-01-13,2020,1,13,1,3,Monday,January,A,A,A,A,A
2020-01-14,2020,1,14,1,3,Tuesday,January,A,A,A,A,A
2020-01-15,2020,1,15,1,3,Wednesday,January,A,A,A,A,A
2020-01-16,2020,1,16,1,3,Thursday,January,A,A,A,A,A
2020-01-17,2020,1,17,1,3,Friday,January,A,A,A,A,A
2020-01-18,2020,1,18,1,3,Saturday,January,A,A,A,A,A
2020-01-19,2020,1,19,1,3,Sunday,January,A,A,A,A,A
2020-01-20,2020,1,20,1,4,Monday,January,A,A,A,A,A
2020-01-21,2020,1,21,1,4,Tuesday,January,A,A,A,A,A
2020-01-22,2020,1,22,1,4,Wednesday,January,A,A,A,A,A
2020-01-23,2020,1,23,1,4,Thursday,January,A,A,A,A,A
2020-01-24,2020,1,24,1,4,Friday,January,A,A,A,A,A
2020-01-25,2020,1,25,1,4,Saturday,January,A,A,A,A,A
2020-01-26,2020,1,26,1,4,Sunday,January,A,A,A,A,A
2020-01-27,2020,1,27,1,5,Monday,January,A,A,A,A,A
2020-01-28,2020,1,28,1,5,Tuesday,January,A,A,A,A,A
2020-01-29,2020,1,29,1,5,Wednesday,January,A,A,A,A,A
2020-01-30,2020,1,30,1,5,Thursday,January,A,A,A,A,A
2020-01-31,2020,1,31,1,5,Friday,January,A,A,A,A,A
2020-02-01,2020,2,1,1,5,Saturday,February,A,A,A,A,A
2020-02-02,2020,2,2,1,5,Sunday,February,A,A,A,A,A
2020-02-03,2020,2,3,1,6,Monday,February,A,A,A,A,A
2020-02-04,2020,2,4,1,6,Tuesday,February,A,A,A,A,A
2020-02-05,2020,2,5,1,6,Wednesday,February,A,A,A,A,A
2020-02-06,2020,2,6,1,6,Thursday,February,A,A,A,A,A
2020-02-07,2020,2,7,1,6,Friday,February,A,A,A,A,A
2020-02-08,2020,2,8,1,6,Saturday,February,A,A,A,A,A
2020-02-09,2020,2,9,1,6,Sunday,February,A,A,A,A,A
2020-02-10,2020,2,10,1,7,Monday,February,A,A,A,A,A
2020-02-11,2020,2,11,1,7,Tuesday,February,A,A,A,A,A
2020-02-12,2020,2,12,1,7,Wednesday,February,A,A,A,A,A
2020-02-13,2020,2,13,1,7,Thursday,February,A,A,A,A,A
2020-02-14,2020,2,14,1,7,Friday,February,A,A,A,A,A
2020-02-15,2020,2,15,1,7,Saturday,February,A,A,A,A,A
2020-02-16,2020,2,16,1,7,Sunday,February,A,A,A,A,A
2020-02-17,2020,2,17,1,8,Monday,February,A,A,A,A,A
2020-02-18,2020,2,18,1,8,Tuesday,February,A,A,A,A,A
2020-02-19,2020,2,19,1,8,Wednesday,February,A,A,A,A,A
2020-02-20,2020,2,20,1,8,Thursday,February,A,A,A,A,A
2020-02-21,2020,2,21,1,8,Friday,February,A,A,A,A,A
2020-02-22,2020,2,22,1,8,Saturday,February,A,A,A,A,A
2020-02-23,2020,2,23,1,8,Sunday,February,A,A,A,A,A
2020-02-24,2020,2,24,1,9,Monday,February,A,A,A,A,A
2020-02-25,2020,2,25,1,9,Tuesday,February,A,A,A,A,A
2020-02-26,2020,2,26,1,9,Wednesday,February,A,A,A,A,A
2020-02-27,2020,2,27,1,9,Thursday,February,A,A,A,A,A
2020-02-28,2020,2,28,1,9,Friday,February,A,A,A,A,A
2020-02-29,2020,2,29,1,9,Saturday,February,A,A,A,A,A
2020-03-01,2020,3,1,1,9,Sunday,March,A,A,A,A,A
2020-03-02,2020,3,2,1,10,Monday,March,A,A,A,A,A
2020-03-03,2020,3,3,1,10,Tuesday,March,A,A,A,A,A
2020-03-04,2020,3,4,1,10,Wednesday,March,A,A,A,A,A
2020-03-05,2020,3,5,1,10,Thursday,March,A,A,A,A,A
2020-03-06,2020,3,6,1,10,Friday,March,A,A,A,A,A
2020-03-07,2020,3,7,1,10,Saturday,March,A,A,A,A,A
2020-03-08,2020,3,8,1,10,Sunday,March,A,A,A,A,A
2020-03-09,2020,3,9,1,11,Monday,March,A,A,A,A,A
2020-03-10,2020,3,10,1,11,Tuesday,March,A,A,A,A,A
2020-03-11,2020,3,11,1,11,Wednesday,March,A,A,A,A,A
2020-03-12,2020,3,12,1,11,Thursday,March,A,A,A,A,A
2020-03-13,2020,3,13,1,11,Friday,March,A,A,A,A,A
2020-03-14,2020,3,14,1,11,Saturday,March,A,A,A,A,A
2020-03-15,2020,3,15,1,11,Sunday,March,A,A,A,A,A
2020-03-16,2020,3,16,1,12,Monday,March,A,A,A,A,A
2020-03-17,2020,3,17,1,12,Tuesday,March,A,A,A,A,A
2020-03-18,2020,3,18,1,12,Wednesday,March,A,A,A,A,A
2020-03-19,2020,3,19,1,12,Thursday,March,A,A,A,A,A
2020-03-20,2020,3,20,1,12,Friday,March,A,A,A,A,A
2020-03-21,2020,3,21,1,12,Saturday,March,A,A,A,A,A
2020-03-22,2020,3,22,1,12,Sunday,March,A,A,A,A,A
2020-03-23,2020,3,23,1,13,Monday,March,A,A,A,A,A
2020-03-24,2020,3,24,1,13,Tuesday,March,A,A,A,A,A
2020-03-25,2020,3,25,1,13,Wednesday,March,A,A,A,A,A
2020-03-26,2020,3,26,1,13,Thursday,March,A,A,A,A,A
2020-03-27,2020,3,27,1,13,Friday,March,A,A,A,A,A
2020-03-28,2020,3,28,1,13,Saturday,March,A,A,A,A,A
2020-03-29,2020,3,29,1,13,Sunday,March,A,A,A,A,A
2020-03-30,2020,3,30,1,14,Monday,March,A,A,A,A,A
2020-03-31,2020,3,31,1,14,Tuesday,March,A,A,A,A,A
2020-04-01,2020,4,1,2,14,Wednesday,April,A,A,A,A,A
2020-04-02,2020,4,2,2,14,Thursday,April,A,A,A,A,A
2020-04-03,2020,4,3,2,14,Friday,April,A,A,A,A,A
2020-04-04,2020,4,4,2,14,Saturday,April,A,A,A,A,A
2020-04-05,2020,4,5,2,14,Sunday,April,A,A,A,A,A
2020-04-06,2020,4,6,2,15,Monday,April,A,A,A,A,A
2020-04-07,2020,4,7,2,15,Tuesday,April,A,A,A,A,A
2020-04-08,2020,4,8,2,15,Wednesday,April,A,A,A,A,A
